LOGIN;DATE;AVERAGE;IN ACTIVE;IN IDLE;OUT ACTIVE;OUT IDLE
abdell_s;2014/11/24;23116,69;20105,71;5,43;0;0
abonne_a;2014/11/24;23116,69;13534,86;63,14;7094;0
aime_q;2014/11/24;23116,69;15915;390,86;161,71;0
aknin_k;2014/11/24;23116,69;6501,86;0;10662;0
akpaki_r;2014/11/24;23116,69;7998,86;307,29;0;0
alami_a;2014/11/24;23116,69;21714,57;3,86;165,43;0
alario_c;2014/11/24;23116,69;13269;870,71;323,57;0
amice_g;2014/11/24;23116,69;9499,86;175,14;5698,86;0
amusin_t;2014/11/24;23116,69;12654,86;0;1454;0
arce_c;2014/11/24;23116,69;19755,14;60,29;1084,57;0
arnoux_c;2014/11/24;23116,69;9818;2,57;0;0
auzera_b;2014/11/24;23116,69;0;0;0;0
ayasch_d;2014/11/24;23116,69;19089,29;329;428,71;0
bakri_m;2014/11/24;23116,69;16131,43;15,29;328;0
banget_d;2014/11/24;23116,69;5427,71;0;20941,29;15452,43
baradj_m;2014/11/24;23116,69;21637,43;0;25179,14;0
barthe_g;2014/11/24;23116,69;14827;0;0;0
barua_a;2014/11/24;23116,69;11112;0;3563,71;0
baud_m;2014/11/24;23116,69;10333,29;89,43;323,29;0
baudel_w;2014/11/24;23116,69;11859,29;0;422,86;0
baudin_r;2014/11/24;23116,69;11000,86;0,43;0;0
bauer_a;2014/11/24;23116,69;20762;13,29;3394,71;0
bayoud_a;2014/11/24;23116,69;0;0;0;0
beaude_t;2014/11/24;23116,69;9581,86;0,29;520,29;0
beauvo_a;2014/11/24;23116,69;12712,57;507;0;0
bebe-b_h;2014/11/24;23116,69;9032,71;0;5864,57;0
beluch_y;2014/11/24;23116,69;4821,29;103,43;5854,29;0
belvo_n;2014/11/24;23116,69;27295,57;0;0;0
benama_w;2014/11/24;23116,69;11936,57;0;3942,86;0
benayo_i;2014/11/24;23116,69;13751,71;46,14;235;32,57
berdal_m;2014/11/24;23116,69;17943;3084,57;3929,29;8349,29
berny_m;2014/11/24;23116,69;19186,86;108,71;3859,43;7647,43
bertac_t;2014/11/24;23116,69;21921,14;820,86;240,71;0
bertra_w;2014/11/24;23116,69;3065;0;12497,43;7756
bertra_x;2014/11/24;23116,69;7109,57;0;7838,71;479,43
besnai_m;2014/11/24;23116,69;16460,71;0;9496,14;0
bheekh_m;2014/11/24;23116,69;13956;0;15267,14;0
bijon_m;2014/11/24;23116,69;16238;0;37567,71;0
billon_a;2014/11/24;23116,69;7666,43;1,29;11335;0
billot_t;2014/11/24;23116,69;11889,43;611,86;0;0
biruko_s;2014/11/24;23116,69;25325,86;428,71;0;0
bis_s;2014/11/24;23116,69;10752,57;1159,29;0;0
blank_p;2014/11/24;23116,69;5836;0,57;17105;11250,86
blanqu_a;2014/11/24;23116,69;19651,86;0;0;0
bloy_j;2014/11/24;23116,69;14735,29;0;7994;0
bocque_c;2014/11/24;23116,69;14060,71;0;7136,86;0
bogard_t;2014/11/24;23116,69;0;0;0;0
boisga_m;2014/11/24;23116,69;15200,71;0;15238,86;0
boitti_m;2014/11/24;23116,69;9179,57;0;3711,43;0
bonnau_t;2014/11/24;23116,69;15938,71;0;0;0
bonner_g;2014/11/24;23116,69;3385,29;0;6936;0
bonnet_h;2014/11/24;23116,69;10519,86;0;0;0
boucar_b;2014/11/24;23116,69;2262,86;404,14;1385;206,86
boudon_s;2014/11/24;23116,69;0;0;0;0
boufid_n;2014/11/24;23116,69;5865,29;0;1569,57;0
bougie_a;2014/11/24;23116,69;1246;0;34,14;0
bouich_r;2014/11/24;23116,69;8176,29;0;0;0
bouiss_j;2014/11/24;23116,69;20140,71;0,57;0;0
boulay_b;2014/11/24;23116,69;20811,86;0;0;0
bouloc_s;2014/11/24;23116,69;14884,86;0,57;773,86;0
bounth_h;2014/11/24;23116,69;18164,43;0;0;0
bourge_k;2014/11/24;23116,69;23900,14;1234;0;0
bouzid_m;2014/11/24;23116,69;14002,43;0;2667,14;0
brandi_j;2014/11/24;23116,69;8912,14;0;433,43;0
breton_y;2014/11/24;23116,69;12068,14;82,57;1747,29;0
bricq_l;2014/11/24;23116,69;7180,71;0;0;0
burges_q;2014/11/24;23116,69;3900,29;0;5829,86;0
cadet_g;2014/11/24;23116,69;21730,43;1341,71;9290,71;0
camus_n;2014/11/24;23116,69;9961,29;179,43;0;0
capell_k;2014/11/24;23116,69;6373,14;0;2265,29;0
caron_m;2014/11/24;23116,69;11128,43;210,86;169,57;0
caron_p;2014/11/24;23116,69;11569,29;0;42469;17793
caron_r;2014/11/24;23116,69;8750,86;0;0;0
carra_j;2014/11/24;23116,69;11381,43;140,57;13462,86;0
cassin_f;2014/11/24;23116,69;10643;0;26612;5749,57
cendri_a;2014/11/24;23116,69;11468,29;0;1951;0
chadil_i;2014/11/24;23116,69;2305,43;484;2536,57;0
chaill_b;2014/11/24;23116,69;263,86;0;2013,43;0
chaint_c;2014/11/24;23116,69;14441,14;0;30592,14;0
chalon_m;2014/11/24;23116,69;9144,14;0;10637,57;0
charra_s;2014/11/24;23116,69;28796,57;0;13720,71;0
chau_b;2014/11/24;23116,69;10759,57;326,71;0;0
chaumi_l;2014/11/24;23116,69;18403,71;646,86;1508,43;0
chehab_h;2014/11/24;23116,69;23283,86;0;0;0
chekro_a;2014/11/24;23116,69;11710,57;0;9189,29;0
chhem_r;2014/11/24;23116,69;12956,71;0;733,14;0
chopar_a;2014/11/24;23116,69;21752,71;0;0;0
choupi_q;2014/11/24;23116,69;18175;266,57;4450,14;0
chouqu_d;2014/11/24;23116,69;14892,14;0;23529,86;0
chuang_k;2014/11/24;23116,69;13869,71;0,14;5335,71;0
chuong_a;2014/11/24;23116,69;20432,86;0;1800,14;0
cokiml_j;2014/11/24;23116,69;14099,57;368;3901,29;0
collin_d;2014/11/24;23116,69;5519,29;14,71;20115,57;0
combe_a;2014/11/24;23116,69;13104,71;167,57;0;0
connan_b;2014/11/24;23116,69;14946,57;0;0;0
coodie_d;2014/11/24;23116,69;11094;0;3323,57;0
courri_g;2014/11/24;23116,69;3459,29;0;0;0
courto_o;2014/11/24;23116,69;26534;1111,43;0;0
craye_b;2014/11/24;23116,69;1274,57;0;4368;0
crette_b;2014/11/24;23116,69;3315;0;841,86;0
dabo_i;2014/11/24;23116,69;13232;0;0;0
damier_a;2014/11/24;23116,69;12485,43;2781;14940,57;5021,29
danilo_d;2014/11/24;23116,69;16793,57;6,43;10109,29;0
danton_a;2014/11/24;23116,69;6180,29;0;10553,86;0
daoud_c;2014/11/24;23116,69;18560,29;0;3692,86;0
dassac_t;2014/11/24;23116,69;13816;2614,14;0;0
dauchy_a;2014/11/24;23116,69;16660,71;25,29;0;0
dauvoi_l;2014/11/24;23116,69;12799,71;2,57;38938,14;0
dauy_t;2014/11/24;23116,69;5911,57;0;2560,14;0
dealme_a;2014/11/24;23116,69;4908,14;247,57;20522,86;2380,71
delaco_c;2014/11/24;23116,69;7677,57;0;851,57;0
delasa_v;2014/11/24;23116,69;0;0;0;0
deljar_l;2014/11/24;23116,69;5202,29;408,86;2690;0
delzen_j;2014/11/24;23116,69;11017,29;42,14;27651,57;0
demart_e;2014/11/24;23116,69;22145,86;0;17422;0
demers_j;2014/11/24;23116,69;20573,43;0;327,86;0
demora_p;2014/11/24;23116,69;19143,43;0;4647,14;0
denana_t;2014/11/24;23116,69;13845,43;398,86;0;0
descha_b;2014/11/24;23116,69;13416,86;0;0;0
desmar_n;2014/11/24;23116,69;12491,14;52,86;918,86;0
desnou_e;2014/11/24;23116,69;14735,43;0;7892,43;0
despeu_t;2014/11/24;23116,69;10828;0;163,57;0
detull_a;2014/11/24;23116,69;15302,29;0;0;0
devoyo_n;2014/11/24;23116,69;4811,43;0;0;0
diallo_n;2014/11/24;23116,69;8891,71;0;5037,43;158,14
diniz-_s;2014/11/24;23116,69;10926;0;5161,43;0
djerad_k;2014/11/24;23116,69;9049,71;3668,29;16765,29;19477,86
docqui_a;2014/11/24;23116,69;2978,14;0;20137,14;0
dossan_a;2014/11/24;23116,69;8473;0;0;0
drogre_a;2014/11/24;23116,69;21193,57;0;4013,43;0
dubois_k;2014/11/24;23116,69;9249,71;0;1201,43;0
dubois_p;2014/11/24;23116,69;10619,14;321,29;2863,71;0
dubosc_a;2014/11/24;23116,69;19009,43;0;889,43;0
duches_a;2014/11/24;23116,69;2546;0;10712,71;0
dufay_n;2014/11/24;23116,69;3492;0;447,29;0
dufour_n;2014/11/24;23116,69;33927,71;123,86;5468,71;0
dujard_t;2014/11/24;23116,69;13431,43;333,14;161;0
dumont_v;2014/11/24;23116,69;16240,14;0;5615,86;0
dumont_w;2014/11/24;23116,69;11434,43;0;3794,86;0
dupard_e;2014/11/24;23116,69;15330,57;0;163,86;0
dupuis_e;2014/11/24;23116,69;11626,57;5,14;0;0
durand_w;2014/11/24;23116,69;17835,86;0;167,57;0
durand_z;2014/11/24;23116,69;8528;103,57;0;0
duttoo_e;2014/11/24;23116,69;11143,14;0;0;0
elbouh_j;2014/11/24;23116,69;5352,14;0;2399,29;0
emmanu_a;2014/11/24;23116,69;5512;0;0;0
esposi_t;2014/11/24;23116,69;16976,57;0;1063;0
esse_a;2014/11/24;23116,69;4006,43;0,57;708,14;0
falloo_v;2014/11/24;23116,69;8735;1218,43;0;0
fauche_p;2014/11/24;23116,69;14350;0;610,86;0
feingo_t;2014/11/24;23116,69;9441,29;339,14;0;0
ferrei_p;2014/11/24;23116,69;19526,43;0;0;0
fez_n;2014/11/24;23116,69;19465,14;0;0;0
foenki_j;2014/11/24;23116,69;13108,43;0;285,57;0
fontai_g;2014/11/24;23116,69;15605,57;0;0;0
foyart_h;2014/11/24;23116,69;20074,29;0;1925,86;0
franco_k;2014/11/24;23116,69;2578,71;0;1124,71;0
gandeg_m;2014/11/24;23116,69;8137,86;0;979,29;0
ganglo_c;2014/11/24;23116,69;21338,86;0;341,86;0
garcia_z;2014/11/24;23116,69;23876,57;0;0;0
gattes_l;2014/11/24;23116,69;11593,86;0;253,14;0
gautie_c;2014/11/24;23116,69;11390,71;28,43;1987,57;0
gautie_j;2014/11/24;23116,69;5293,71;385,43;11947,86;0
gazier_o;2014/11/24;23116,69;667,14;0;0;0
geiger_a;2014/11/24;23116,69;19367,57;0;0;0
genet_a;2014/11/24;23116,69;22546,86;0,14;2919,71;0
george_t;2014/11/24;23116,69;12449,43;0;1363,14;0
giacom_r;2014/11/24;23116,69;21990,29;0;0;0
gianne_n;2014/11/24;23116,69;11959,57;0;1685,86;0
giraud_p;2014/11/24;23116,69;14857,71;0;2253,43;0
gizard_a;2014/11/24;23116,69;16630,43;0;5366,71;0
godfro_a;2014/11/24;23116,69;8483,71;0;0;0
godine_f;2014/11/24;23116,69;16425,86;0;3240,57;0
goliti_j;2014/11/24;23116,69;12334;0;11171,43;0
gomes_c;2014/11/24;23116,69;10372;233,57;21820,29;0
gouasb_k;2014/11/24;23116,69;15517,29;0;0;0
goudal_n;2014/11/24;23116,69;8997,57;5504,71;79,43;0
goude_g;2014/11/24;23116,69;9258,71;0;0;0
gouspy_m;2014/11/24;23116,69;0;0;0;0
gras_s;2014/11/24;23116,69;0;0;0;0
grenet_j;2014/11/24;23116,69;5303,57;0;511,71;0
grosso_a;2014/11/24;23116,69;15687,86;0;1238,57;0
guerga_a;2014/11/24;23116,69;3983,43;104,57;662,43;0
guerio_p;2014/11/24;23116,69;11485,43;0;0;0
guilba_v;2014/11/24;23116,69;13205,86;0;538,43;0
guille_l;2014/11/24;23116,69;17513,43;225;2507,57;0
guyot_j;2014/11/24;23116,69;9993,43;2498,14;8290,43;0
guzman_y;2014/11/24;23116,69;30292,71;0;0;0
ha_c;2014/11/24;23116,69;12928,29;0;3607,14;0
hakim_s;2014/11/24;23116,69;23408,71;11199,57;2637,86;0
haller_c;2014/11/24;23116,69;13563,14;313,43;7017,43;0
hedoo_n;2014/11/24;23116,69;11703,86;450;0;0
hegazy_k;2014/11/24;23116,69;12562,14;0;0;0
heitor_j;2014/11/24;23116,69;1165,43;69,14;0;0
henry_f;2014/11/24;23116,69;10956,14;49;2017,86;0
her_m;2014/11/24;23116,69;6783,71;59,43;0;0
herszk_s;2014/11/24;23116,69;17502,43;0;3244,43;0
heuse-_g;2014/11/24;23116,69;18990,71;1351,43;2401,57;3439
hillio_k;2014/11/24;23116,69;14701,43;2,29;4094,14;0
huynh_i;2014/11/24;23116,69;9297,29;0;7235;0
huynh_l;2014/11/24;23116,69;17998,29;94,29;324,14;0
ibrahi_r;2014/11/24;23116,69;10702,71;148,29;359,71;1056,14
ikezbi_h;2014/11/24;23116,69;5892,14;0;697,86;0
ivombo_y;2014/11/24;23116,69;24761,29;0;0;0
jallut_p;2014/11/24;23116,69;10271;0;8827,86;0
jamais_t;2014/11/24;23116,69;10604,57;0;0;0
jel_s;2014/11/24;23116,69;14856,57;0;0;0
jendli_m;2014/11/24;23116,69;21128,29;0;0;0
jerbou_a;2014/11/24;23116,69;13204,86;220,71;170,14;0
julien_c;2014/11/24;23116,69;19502,29;22,29;8482,29;423,29
juwara_k;2014/11/24;23116,69;7857;0;2976,29;0
kade_c;2014/11/24;23116,69;16091,86;0;1378,14;0
karaog_c;2014/11/24;23116,69;12426,71;0;14876,71;0
karmes_l;2014/11/24;23116,69;17911,29;5,86;163,57;0
khenki_n;2014/11/24;23116,69;35676,71;78,14;647,29;0
klein_c;2014/11/24;23116,69;16341;0;0;0
kochet_t;2014/11/24;23116,69;5867;0;17645,43;0
l-herm_n;2014/11/24;23116,69;0;0;0;0
ladmir_j;2014/11/24;23116,69;5156;196,57;2458,43;0
lahmar_k;2014/11/24;23116,69;17572,29;0;0;0
lahmi_g;2014/11/24;23116,69;5065,86;0;14242,86;0
lamber_y;2014/11/24;23116,69;21068,86;139,57;0;0
laplac_r;2014/11/24;23116,69;6720,29;0;0;0
larrib_m;2014/11/24;23116,69;15309,71;0,43;2048,43;0
laskar_s;2014/11/24;23116,69;27089,86;0;0;0
le_l;2014/11/24;23116,69;16934,29;0,43;6446,57;0
le_n;2014/11/24;23116,69;22351,71;0;24037,57;0
lebiha_a;2014/11/24;23116,69;6677,29;88,14;0;0
lebray_a;2014/11/24;23116,69;20193,71;2,57;1043,71;18,29
lebrun_q;2014/11/24;23116,69;26480;0;353,57;0
lecavo_e;2014/11/24;23116,69;18488,14;1;3720,43;0
lecouv_v;2014/11/24;23116,69;28357,86;0;0;0
lefebv_5;2014/11/24;23116,69;18548,29;0;4436,71;0
lefloc_t;2014/11/24;23116,69;11977,71;0;164,29;0
legald_t;2014/11/24;23116,69;5560,14;0;16002,71;0
legent_c;2014/11/24;23116,69;18686,57;0;345,43;0
legoff_y;2014/11/24;23116,69;7376,57;262,29;11734,14;0
leguen_t;2014/11/24;23116,69;5409,71;0,43;6379,29;312,57
lejeun_b;2014/11/24;23116,69;11164,57;0;1551,29;0
leleu_h;2014/11/24;23116,69;9650,29;0;0;0
lemass_q;2014/11/24;23116,69;13925;0;12318,57;0
lenoel_t;2014/11/24;23116,69;13287,43;700,86;4007,14;212,57
lepina_a;2014/11/24;23116,69;2551,86;0;0;0
lepina_v;2014/11/24;23116,69;13891,14;0;7012;0
lepres_l;2014/11/24;23116,69;15108,71;0;5,43;0,43
leroux_r;2014/11/24;23116,69;12399,43;117,71;0;0
leroy_q;2014/11/24;23116,69;17891,43;3968,43;2792,43;2194,14
lesell_b;2014/11/24;23116,69;9320,57;0;0;0
letrou_e;2014/11/24;23116,69;7867,57;0;0;0
levi_m;2014/11/24;23116,69;21068,71;0;2558,71;43,14
levy_c;2014/11/24;23116,69;13557,14;0;17069,43;21717,57
liaqat_w;2014/11/24;23116,69;15331,57;0;5295,29;0
loire_x;2014/11/24;23116,69;19117,14;0;0;0
loisea_c;2014/11/24;23116,69;15286,14;2,71;261,71;0
lokban_a;2014/11/24;23116,69;9600,43;0;0,14;0
loofat_s;2014/11/24;23116,69;17670,14;0;7780,29;0
lopa_d;2014/11/24;23116,69;15993;0;4988,57;0
lopes_o;2014/11/24;23116,69;19902,14;0;0;0
lopes_p;2014/11/24;23116,69;20966,43;0;1156,43;0
louis_o;2014/11/24;23116,69;28615;0;0;0
louisi_c;2014/11/24;23116,69;24999;0;4003,71;0
loule_j;2014/11/24;23116,69;14204,43;0;14004,43;0
louler_a;2014/11/24;23116,69;16520,43;0;462,71;0
louyot_b;2014/11/24;23116,69;5406,14;0;3095,14;0
lucas_k;2014/11/24;23116,69;7366,43;0;2337,86;0
lumban_m;2014/11/24;23116,69;15781,14;3,71;8353;534,71
ly_q;2014/11/24;23116,69;10336,57;0;7949;0
maglia_m;2014/11/24;23116,69;4912,14;0;1056,29;0
magne_c;2014/11/24;23116,69;17639,14;0;0;0
magne_w;2014/11/24;23116,69;12102,57;0;44,29;0
mahfou_c;2014/11/24;23116,69;17583;0;0;0
mahjou_s;2014/11/24;23116,69;21116,29;172,71;0;0
malais_b;2014/11/24;23116,69;12952,43;0;35,57;0,29
mansuy_l;2014/11/24;23116,69;7112,57;3,14;2124,86;1868,43
maqued_m;2014/11/24;23116,69;0;0;0;0
marech_a;2014/11/24;23116,69;12650,86;0;0;0
marie-_j;2014/11/24;23116,69;15146,29;425,86;11182,57;0
mart_0;2014/11/24;23116,69;15247,71;172,43;75,43;0
mart_1;2014/11/24;23116,69;16005,86;0;937,29;0
masson_q;2014/11/24;23116,69;13090;0;0;0
mazier_j;2014/11/24;23116,69;20662,43;0;1334,43;0
mechar_m;2014/11/24;23116,69;19833,71;3004;0;0
mellit_r;2014/11/24;23116,69;13576,86;208,29;0;0
metz_a;2014/11/24;23116,69;19192,86;0;0;0
meuric_a;2014/11/24;23116,69;26701,71;0;5445,14;0
meyron_h;2014/11/24;23116,69;13057,14;0;0;0
midrie_d;2014/11/24;23116,69;18435,14;0;0;0
mille_c;2014/11/24;23116,69;13628,86;0;11934,71;0
minet_a;2014/11/24;23116,69;16161,57;0;167,29;0
minot_b;2014/11/24;23116,69;22792,57;0;0;0
miot_e;2014/11/24;23116,69;601,57;0;0;0
mirouf_q;2014/11/24;23116,69;8584,14;0;0;0
mohade_m;2014/11/24;23116,69;25149,43;45,29;489;0
mohama_a;2014/11/24;23116,69;16744,57;1849,71;1509,43;508,71
mohamm_h;2014/11/24;23116,69;1847,86;0;0;0
moisse_r;2014/11/24;23116,69;5637,43;25,43;6496,29;0
mongin_a;2014/11/24;23116,69;19107,14;218,71;0;0
montag_p;2014/11/24;23116,69;8479,14;69,43;317,29;0
morard_m;2014/11/24;23116,69;13993,14;0;6342,14;0
moreau_4;2014/11/24;23116,69;11382;0;2394,86;0
moreau_5;2014/11/24;23116,69;7006,57;0;0;0
moudre_k;2014/11/24;23116,69;35808,43;10005,86;4249,57;13824
moussi_a;2014/11/24;23116,69;16101,86;0;0;0
muller_l;2014/11/24;23116,69;5205;353,86;0;0
mussat_t;2014/11/24;23116,69;3168,57;5,14;0;0
muthuk_y;2014/11/24;23116,69;16884,86;0;676,71;0
myseng_m;2014/11/24;23116,69;12146,14;1;23504,71;3034,29
naji_m;2014/11/24;23116,69;27438,43;0;19690,86;0
nakach_f;2014/11/24;23116,69;3581,86;0;4931,86;0
nault_a;2014/11/24;23116,69;9115,43;96,43;3718,71;0
noswor_o;2014/11/24;23116,69;13762,71;0;0;0
nzemba_a;2014/11/24;23116,69;17137,29;0,29;7664,57;0
obrero_k;2014/11/24;23116,69;19487,14;0;11514;0
ollivi_a;2014/11/24;23116,69;27665,29;0;26558,86;0
osada_g;2014/11/24;23116,69;13641,86;191,14;493,57;0
paccar_c;2014/11/24;23116,69;17828,14;4495;150,86;0
palsma_j;2014/11/24;23116,69;10832,14;11,86;3405,14;901
panya_s;2014/11/24;23116,69;13173;191,43;415,57;0
pape_a;2014/11/24;23116,69;14928;0;1227,57;0
parigi_n;2014/11/24;23116,69;18598,14;0;0;0
pavan_f;2014/11/24;23116,69;732,29;0;0;0
pellem_m;2014/11/24;23116,69;15111,57;0,57;2;0
pennam_a;2014/11/24;23116,69;25569,71;16,29;0;0
perez_c;2014/11/24;23116,69;10723,29;25,14;701,57;0
perina_e;2014/11/24;23116,69;15800;463,43;160,14;0
perouz_l;2014/11/24;23116,69;11585,86;0;8903,71;0
perret_f;2014/11/24;23116,69;7296,57;0;0;0
pesty_a;2014/11/24;23116,69;25170;0;0;0
petiot_h;2014/11/24;23116,69;10955,57;88,43;0;0
philip_i;2014/11/24;23116,69;15070,43;52,14;6888;0
pidjot_a;2014/11/24;23116,69;27046,43;6290,86;0;0
pinloc_a;2014/11/24;23116,69;51725,57;13500,14;0;0
pire_k;2014/11/24;23116,69;4776,14;1584,29;0;0
plesel_j;2014/11/24;23116,69;16322,43;346,86;10583,86;773,14
ploujo_c;2014/11/24;23116,69;17425;0;2367,43;0
pommie_m;2014/11/24;23116,69;10365,86;140,43;0;0
pozzat_a;2014/11/24;23116,69;20700,86;0;0;0
prapot_n;2014/11/24;23116,69;0;0;0;0
prevos_i;2014/11/24;23116,69;24841,57;77,57;607,86;0
prevot_d;2014/11/24;23116,69;1260,43;0;21324,14;0
prezea_b;2014/11/24;23116,69;20020;8641,29;36957,29;1620,43
promte_a;2014/11/24;23116,69;16648,29;0;0;0
provos_m;2014/11/24;23116,69;12485,57;216,14;24193,43;31110,71
quinzi_v;2014/11/24;23116,69;0;0;0;0
radola_s;2014/11/24;23116,69;16271,14;373;517;0
rajase_d;2014/11/24;23116,69;23929;0,57;4448,57;0
rakoto_m;2014/11/24;23116,69;17038,86;2,43;3045,57;0
randri_c;2014/11/24;23116,69;17517,14;221,29;498,71;0
reiatu_t;2014/11/24;23116,69;12977,29;0;867;0
rene_a;2014/11/24;23116,69;22876;0;1955,86;0
ribeir_c;2014/11/24;23116,69;19127,86;0,29;0;0
ribeir_s;2014/11/24;23116,69;4385,86;149,43;0;0
ries_f;2014/11/24;23116,69;15451,57;145,43;8959,57;0
rieux-_t;2014/11/24;23116,69;15554,57;0;0;0
rimokh_y;2014/11/24;23116,69;10370,29;0,14;3974;0
robin_f;2014/11/24;23116,69;14474,86;0;15458,14;0
roche_g;2014/11/24;23116,69;9912,29;0;4460,29;0
rochef_q;2014/11/24;23116,69;9530,86;2,86;14107,29;0
rochon_k;2014/11/24;23116,69;17786,86;0;12118,86;0
rodrig_0;2014/11/24;23116,69;12259,14;0;252,86;0
rodrig_z;2014/11/24;23116,69;21692,29;179,71;0;0
rombou_t;2014/11/24;23116,69;7820;0;0;0
rousee_g;2014/11/24;23116,69;17953,29;88,29;0;0
rouss_p;2014/11/24;23116,69;21748,71;1;0;0
roy_p;2014/11/24;23116,69;11574,86;0;2261,43;658,14
ruelle_l;2014/11/24;23116,69;13045,57;811,71;15415,14;0
ruotte_b;2014/11/24;23116,69;1931,29;0;5315,29;0
rusch_y;2014/11/24;23116,69;12695,71;0;2155,57;0
saidi_d;2014/11/24;23116,69;22490,57;165;1505,43;0
salabe_f;2014/11/24;23116,69;25717,29;96,43;0;0
sallan_t;2014/11/24;23116,69;10848,57;234,43;0;0
salnik_a;2014/11/24;23116,69;10352,14;0;14429,43;0
sariha_a;2014/11/24;23116,69;9935,71;819;700;0
saumur_f;2014/11/24;23116,69;8127;1329,29;0;0
sauvag_c;2014/11/24;23116,69;9594,86;2444,43;0;0
sayavo_f;2014/11/24;23116,69;23257,86;0;0;0
sayyou_y;2014/11/24;23116,69;11927,14;3,57;2660,71;2,71
schuch_v;2014/11/24;23116,69;21863;470;1815,43;0
sebaou_d;2014/11/24;23116,69;25932,71;5,14;0;0
sida_b;2014/11/24;23116,69;25126,29;0;2;0
sikora_n;2014/11/24;23116,69;17541,86;204;1181,86;0
simomb_s;2014/11/24;23116,69;26266;0;7582,29;0
sinou_j;2014/11/24;23116,69;12524,57;0;3504,86;0
sisca_m;2014/11/24;23116,69;17381;0;5595,57;0
sivaku_v;2014/11/24;23116,69;10009,29;0;2299,43;0
sok_c;2014/11/24;23116,69;17172,57;9987,71;0;0
sollac_a;2014/11/24;23116,69;7334,86;0;0;0
sommer_b;2014/11/24;23116,69;14521,14;0;4811,29;0
soulie_a;2014/11/24;23116,69;4288;0;3600,43;0
soumph_s;2014/11/24;23116,69;10853,29;98,43;63,57;0
staian_j;2014/11/24;23116,69;2730,14;125,29;1838,14;0
staian_m;2014/11/24;23116,69;5972,86;23;21505,29;820,57
stoilo_s;2014/11/24;23116,69;11645,14;51,57;21200,86;0
sufran_n;2014/11/24;23116,69;2514,71;205,14;3483,29;0
ta_r;2014/11/24;23116,69;11919;3649,14;2205,43;0
teeloc_k;2014/11/24;23116,69;18665,71;257,29;12,57;0
tehami_m;2014/11/24;23116,69;2386,71;0;18714,43;4439,71
teko_j;2014/11/24;23116,69;28263,43;0;0;0
theet_a;2014/11/24;23116,69;2180,57;0;612;0
theme_g;2014/11/24;23116,69;18780,14;0;16014,43;0
thiawk_j;2014/11/24;23116,69;26276;270,86;574,43;0
thomis_j;2014/11/24;23116,69;0;0;0;0
thouch_n;2014/11/24;23116,69;18412,14;0;2380,57;0
togbe_m;2014/11/24;23116,69;12702,71;48,71;15940,57;1933,43
tonnel_c;2014/11/24;23116,69;22860,86;1,14;14,14;0
toutai_b;2014/11/24;23116,69;13942,86;0;179,14;0
tran_9;2014/11/24;23116,69;27612,71;0;774,29;0
trantu_j;2014/11/24;23116,69;3294,14;0;0;0
trinel_t;2014/11/24;23116,69;6395;295,71;0;0
tripot_l;2014/11/24;23116,69;14695,71;119,29;509,57;79,86
truong_j;2014/11/24;23116,69;4073,71;0;5246,43;0
turenn_r;2014/11/24;23116,69;14311,14;589;8169,43;398,29
turpau_g;2014/11/24;23116,69;17224,57;182,43;174,43;0
ung_i;2014/11/24;23116,69;13861,71;0;3129;3,71
ung_p;2014/11/24;23116,69;13443,57;0;21377,29;0
valent_b;2014/11/24;23116,69;19038,43;659,57;348;0
vallan_n;2014/11/24;23116,69;0;0;14777,14;28250,14
vannoo_a;2014/11/24;23116,69;17383,29;0,14;15700,43;39,29
vautie_a;2014/11/24;23116,69;20005,43;77,71;25306,43;5466,14
vental_k;2014/11/24;23116,69;15768,29;7,86;0;0
weyl_t;2014/11/24;23116,69;16789,29;0;30975,43;4968,43
wroble_h;2014/11/24;23116,69;17897,14;0,86;4790;223,86
yapo_k;2014/11/24;23116,69;44638;0;6887,86;0
yeme_o;2014/11/24;23116,69;9990,57;0;6483;0
yogana_a;2014/11/24;23116,69;16248,86;81;636,14;0
zhu_e;2014/11/24;23116,69;23830,86;0,29;253,29;0
zordan_n;2014/11/24;23116,69;22242,43;339,29;0;0
zraibi_e;2014/11/24;23116,69;0;0;0;0
